object,id,ra,dec,i_mag,g_mag,bp_rp,excess_noise,i_mag1
OGLE-BLG-0002,4091124819599800832,276.3009360488762,-21.01045409608376,17.716466903686523,18.71343421936035,1.6390266418457031,0.7171962857246399,17.735318340295436
OGLE-BLG-0002,4091124815292713856,276.29986046712463,-21.01351354661093,17.33967399597168,18.338546752929688,1.6434097290039062,0.2782436311244964,17.35856469318721
OGLE-BLG-0002,4091124815292752384,276.30257720359174,-21.01042791810385,18.2251091003418,19.387311935424805,2.05889892578125,1.0909135341644287,18.24722915198352
OGLE-BLG-0002,4091124815238236672,276.3025302369974,-21.01387814555266,16.967540740966797,18.090087890625,1.9495830535888672,0.6035776138305664,16.988904406085826
OGLE-BLG-0002,4091124819541460224,276.2998541701635,-21.01452518137829,17.338237762451172,18.361631393432617,1.7006187438964844,0.4696449041366577,17.3576308943714
OGLE-BLG-0002,4091124819543014400,276.3033055005378,-21.01070590693701,17.94059181213379,18.98824691772461,1.7587776184082031,1.7884454727172852,17.960475401485287
OGLE-BLG-0002,4091124819620438912,276.30068112931923,-21.009182810579045,17.888975143432617,18.951059341430664,1.7941513061523438,5.502224922180176,17.909148346157487
OGLE-BLG-0002,4091124815292722048,276.30391011926787,-21.012206583325742,18.28995513916016,19.323686599731445,1.7252044677734375,0.0,18.309557791271615
OGLE-BLG-0002,4091124815292720000,276.2989473948198,-21.00954347070329,18.3514461517334,19.4356746673584,1.8496665954589844,1.5962148904800415,18.372059198185084
OGLE-BLG-0002,4091124815292719104,276.29731311682184,-21.01224656649537,17.941930770874023,18.936674118041992,1.633920669555664,0.0,17.960736867715028
OGLE-BLG-0002,4091124819599799808,276.29855603226366,-21.01457973565921,15.932363510131836,16.924365997314453,1.6276473999023438,0.2640053033828735,15.951112316112262
OGLE-BLG-0002,4091125678593274496,276.3012844503943,-20.995124996622827,18.317642211914062,19.4100284576416,1.870513916015625,0.0,18.33841576002649
OGLE-BLG-0002,4091125674287227904,276.3016392842837,-20.99450105884393,18.390071868896484,19.50614547729492,1.9323387145996087,0.9721463918685912,18.411308463297214
OGLE-BLG-0002,4091125674287190144,276.2996422719846,-20.99421046988355,17.928773880004883,18.97035026550293,1.7440528869628906,0.5617004632949829,17.94853552737391
OGLE-BLG-0002,4091125571152563328,276.2990604700187,-20.99561176555958,18.194509506225582,19.354660034179688,2.0530776977539062,2.022284030914306,18.21659067107569
OGLE-BLG-0002,4091125678613911936,276.3012809299228,-20.993796041098417,17.68975257873535,18.732664108276367,1.7472801208496094,2.121910572052002,17.70954024363122
OGLE-BLG-0002,4091125678534949504,276.2997520940617,-20.99399855992711,18.179039001464844,19.101402282714844,1.473796844482422,1.0454952716827393,18.196335153031775
OGLE-BLG-0002,4091125674231787392,276.3031330649584,-20.99441322141088,17.54346466064453,18.50411033630371,1.557086944580078,1.0057114362716677,17.56156302952942
OGLE-BLG-0002,4091125575514061824,276.2982898334845,-20.994844306913087,18.422027587890625,19.63489151000977,2.209217071533203,1.3996354341506958,18.445077809699484
OGLE-BLG-0002,4091125575455733632,276.2982982743221,-20.996481147537988,16.970571517944336,18.004295349121094,1.7251873016357422,3.905986785888672,16.990173571787132
OGLE-BLG-0002,4091125674287231744,276.3037341541945,-20.994870167999952,18.335405349731445,19.388551712036133,1.7721672058105469,0.6340700387954712,18.35539979490658
OGLE-BLG-0002,4091125674257663744,276.3031602693624,-20.99365986120136,17.526500701904297,18.576393127441406,1.7642230987548828,0.769146740436554,17.546429261898542
OGLE-BLG-0002,4091125571207976192,276.3011155949543,-20.998233233923543,17.95584487915039,18.9453239440918,1.6218833923339844,0.3720845878124237,17.97454266297766
